date,department_id,shift,scheduled_staff,actual_staff,staffing_hours
2025-01-01,D01,Day,8,9,72
2025-01-01,D01,Evening,8,8,64
2025-01-01,D01,Night,8,8,64
2025-01-01,D02,Day,4,5,40
2025-01-01,D02,Evening,4,4,32
2025-01-01,D02,Night,3,1,8
2025-01-01,D03,Day,6,6,48
2025-01-01,D03,Evening,4,3,24
2025-01-01,D03,Night,8,6,48
2025-01-01,D04,Day,7,7,56
2025-01-01,D04,Evening,6,4,32
2025-01-01,D04,Night,7,7,56
2025-01-01,D05,Day,5,6,48
2025-01-01,D05,Evening,6,7,56
2025-01-01,D05,Night,6,6,48
2025-01-01,D06,Day,7,8,64
2025-01-01,D06,Evening,2,3,24
2025-01-01,D06,Night,5,5,40
2025-01-02,D01,Day,9,8,64
2025-01-02,D01,Evening,9,10,80
2025-01-02,D01,Night,8,6,48
2025-01-02,D02,Day,6,7,56
2025-01-02,D02,Evening,6,7,56
2025-01-02,D02,Night,5,3,24
2025-01-02,D03,Day,5,6,48
2025-01-02,D03,Evening,5,4,32
2025-01-02,D03,Night,7,7,56
2025-01-02,D04,Day,9,8,64
2025-01-02,D04,Evening,9,10,80
2025-01-02,D04,Night,9,9,72
2025-01-02,D05,Day,5,6,48
2025-01-02,D05,Evening,5,3,24
2025-01-02,D05,Night,4,3,24
2025-01-02,D06,Day,2,3,24
2025-01-02,D06,Evening,4,2,16
2025-01-02,D06,Night,3,1,8
2025-01-03,D01,Day,9,9,72
2025-01-03,D01,Evening,9,9,72
2025-01-03,D01,Night,7,7,56
2025-01-03,D02,Day,5,5,40
2025-01-03,D02,Evening,3,2,16
2025-01-03,D02,Night,4,4,32
2025-01-03,D03,Day,5,4,32
2025-01-03,D03,Evening,5,6,48
2025-01-03,D03,Night,6,6,48
2025-01-03,D04,Day,8,9,72
2025-01-03,D04,Evening,7,8,64
2025-01-03,D04,Night,5,5,40
2025-01-03,D05,Day,5,5,40
2025-01-03,D05,Evening,4,4,32
2025-01-03,D05,Night,5,6,48
2025-01-03,D06,Day,6,6,48
2025-01-03,D06,Evening,6,5,40
2025-01-03,D06,Night,4,4,32
2025-01-04,D01,Day,9,9,72
2025-01-04,D01,Evening,8,9,72
2025-01-04,D01,Night,12,12,96
2025-01-04,D02,Day,5,5,40
2025-01-04,D02,Evening,6,7,56
2025-01-04,D02,Night,8,8,64
2025-01-04,D03,Day,3,2,16
2025-01-04,D03,Evening,5,5,40
2025-01-04,D03,Night,6,5,40
2025-01-04,D04,Day,7,7,56
2025-01-04,D04,Evening,7,7,56
2025-01-04,D04,Night,9,10,80
2025-01-04,D05,Day,5,5,40
2025-01-04,D05,Evening,5,5,40
2025-01-04,D05,Night,3,3,24
2025-01-04,D06,Day,6,5,40
2025-01-04,D06,Evening,6,7,56
2025-01-04,D06,Night,4,5,40
2025-01-05,D01,Day,6,6,48
2025-01-05,D01,Evening,11,10,80
2025-01-05,D01,Night,8,9,72
